vertices,edges,Density,Comparisons,Divisions,Additions,Solutions,Time,resposta,peso
1,0,75,8,0,1,0,0.0,[0],58
2,0,75,20110,0,3,0,0.028991222381591797,"[0, 1]",74
3,2,75,53,0,3,0,0.0,[1],16
4,4,75,75,0,4,0,0.0,[1],16
5,7,75,20452,0,22,0,0.028828144073486328,"[1, 2]",41
6,11,75,199,0,6,0,0.0,[5],54
7,15,75,300,0,7,0,0.0,[2],25
8,21,75,415,0,8,0,0.0009822845458984375,[4],28
9,27,75,22070,0,66,0,0.029618501663208008,"[8, 6]",24
10,33,75,22878,0,61,0,0.030298233032226562,"[6, 8]",24
11,41,75,23801,0,62,0,0.03132033348083496,"[8, 6]",24
12,49,75,1199,0,12,0,0.0010077953338623047,[1],16
13,58,75,1306,0,13,0,0.0,[4],28
14,68,75,28873,0,95,0,0.035341739654541016,"[6, 1]",31
15,78,75,32402,0,88,0,0.06252884864807129,"[1, 8]",25
16,90,75,35649,0,97,0,0.0563812255859375,"[1, 8]",25
17,102,75,40800,0,93,0,0.05953216552734375,"[1, 8]",25
18,114,75,894,0,9,0,0.0,[9],68
19,128,75,45057,0,118,0,0.0651540756225586,"[6, 13]",33
20,142,75,47610,0,123,0,0.06148076057434082,"[13, 1]",34
21,157,75,50230,0,133,0,0.06684994697570801,"[6, 20]",19
22,173,75,53472,0,138,0,0.11551451683044434,"[20, 8]",13
23,189,75,56671,0,124,0,0.07030987739562988,"[20, 21]",23
24,207,75,60255,0,161,0,0.0649254322052002,"[6, 1]",31
25,225,75,63881,0,151,0,0.061975955963134766,"[20, 8]",13
26,243,75,68421,0,142,0,0.0765540599822998,"[20, 6]",19
27,263,75,72898,0,156,0,0.07849001884460449,"[6, 8]",24
28,283,75,78133,0,151,0,0.08562850952148438,"[20, 8]",13
29,304,75,82971,0,151,0,0.08475780487060547,"[20, 8]",13
30,326,75,88791,0,170,0,0.09448599815368652,"[6, 20]",19
31,348,75,94854,0,172,0,0.07880997657775879,"[6, 20]",19
32,372,75,102329,0,147,0,0.08459281921386719,"[20, 8]",13
33,396,75,107800,0,169,0,0.0793616771697998,"[32, 20]",15
34,420,75,115789,0,134,0,0.08359980583190918,"[8, 20]",13
35,446,75,122773,0,164,0,0.0826268196105957,"[20, 1]",20
36,472,75,131602,0,162,0,0.08470010757446289,"[13, 6]",33
37,499,75,140013,0,173,0,0.08989930152893066,"[21, 20]",23
38,527,75,149843,0,146,0,0.10018539428710938,"[8, 1]",25
39,555,75,158348,0,157,0,0.11538839340209961,"[32, 1]",27
40,585,75,172452,0,147,0,0.13289523124694824,"[29, 20]",35
41,615,75,179635,0,144,0,0.16819190979003906,"[4, 20]",32
42,645,75,192140,0,146,0,0.14145970344543457,"[1, 20]",20
43,677,75,202057,0,118,0,0.12759065628051758,"[32, 21]",30
44,709,75,213189,0,128,0,0.11363697052001953,"[38, 8]",31
45,742,75,225220,0,149,0,0.14471769332885742,"[8, 21]",28
46,776,75,240136,0,121,0,0.12696218490600586,"[8, 21]",28
47,810,75,251018,0,117,0,0.129608154296875,"[44, 1]",21
48,846,75,269035,0,130,0,0.14524149894714355,"[2, 20]",29
49,882,75,282597,0,119,0,0.13774442672729492,"[44, 8]",14
50,918,75,297827,0,104,0,0.14627313613891602,"[47, 13]",19
51,956,75,312235,0,131,0,0.17058801651000977,"[20, 8]",13
52,994,75,327873,0,116,0,0.1579113006591797,"[50, 49]",21
53,1033,75,344451,0,99,0,0.1585378646850586,"[20, 8]",13
54,1073,75,363752,0,112,0,0.16732335090637207,"[4, 44]",33
55,1113,75,376969,0,113,0,0.16944575309753418,"[50, 27]",29
56,1155,75,396369,0,81,0,0.18863844871520996,"[4, 47]",29
57,1197,75,412677,0,122,0,0.21060943603515625,"[8, 49]",26
58,1239,75,438395,0,109,0,0.21961355209350586,"[48, 1]",37
59,1283,75,447014,0,92,0,0.244218111038208,"[44, 48]",26
60,1327,75,469249,0,94,0,0.209975004196167,"[47, 48]",22
61,1372,75,495606,0,106,0,0.21677041053771973,"[47, 21]",20
62,1418,75,507892,0,127,0,0.21900177001953125,"[47, 48]",22
63,1464,75,527706,0,105,0,0.22499775886535645,"[47, 21]",20
64,1512,75,558970,0,101,0,0.3002204895019531,"[44, 6]",20
65,1560,75,617200,0,60,0,0.2630000114440918,"[20, 55]",45
66,1608,75,595294,0,107,0,0.25500035285949707,"[32, 20]",15
67,1658,75,614964,0,94,0,0.2589743137359619,"[61, 6]",40
68,1708,75,682520,0,76,0,0.2869999408721924,"[47, 44]",6
69,1759,75,683800,0,69,0,0.28299975395202637,"[44, 6]",20
70,1811,75,688576,0,70,0,0.29799962043762207,"[20, 49]",21
71,1863,75,709636,0,78,0,0.31265974044799805,"[6, 47]",16
72,1917,75,735925,0,95,0,0.30699992179870605,"[44, 8]",14
73,1971,75,748211,0,88,0,0.3056061267852783,"[49, 53]",53
74,2025,75,794168,0,70,0,0.34088897705078125,"[1, 6]",31
75,2081,75,791000,0,55,0,0.37218594551086426,"[38, 4]",50
76,2137,75,822492,0,77,0,0.3766801357269287,"[3, 34]",67
77,2194,75,868619,0,84,0,0.40804171562194824,"[8, 4]",37
78,2252,75,875819,0,77,0,0.43028807640075684,"[53, 6]",51
79,2310,75,898114,0,79,0,0.40799760818481445,"[44, 6]",20
80,2370,75,921896,0,59,0,0.3867659568786621,"[6, 72]",29
81,2430,75,951450,0,55,0,0.3923015594482422,"[47, 2]",26
82,2490,75,982341,0,69,0,0.40793275833129883,"[50, 6]",19
83,2552,75,993488,0,69,0,0.4079141616821289,"[44, 6]",20
84,2614,75,1106818,0,59,0,0.45468974113464355,"[8, 63]",32
85,2677,75,1066634,0,58,0,0.47078585624694824,"[6, 50]",19
86,2741,75,1114932,0,83,0,0.48657941818237305,"[6, 38]",37
87,2805,75,1128619,0,48,0,0.4854099750518799,"[6, 18]",55
88,2871,75,1143511,0,64,0,0.4759349822998047,"[32, 47]",12
89,2937,75,1208825,0,58,0,0.5020616054534912,"[44, 4]",33
90,3003,75,1218688,0,73,0,0.5171792507171631,"[21, 83, 47]",26
91,3071,75,1198160,0,75,0,0.4809379577636719,"[47, 48]",22
92,3139,75,1243030,0,64,0,0.5171787738800049,"[4, 8]",37
93,3208,75,1296439,0,71,0,0.5337743759155273,"[18, 8]",49
94,3278,75,1367304,0,59,0,0.5645301342010498,"[47, 6]",16
95,3348,75,1528369,0,59,0,0.6431491374969482,"[83, 63]",29
96,3420,75,1365171,0,53,0,0.6431236267089844,"[50, 6]",19
97,3492,75,1465639,0,58,0,0.6275041103363037,"[47, 2]",26
98,3564,75,1508920,0,71,0,0.7685329914093018,"[50, 47]",5
99,3638,75,1404729,0,57,0,0.5957181453704834,"[4, 8]",37
100,3712,75,1554882,0,54,0,0.6754114627838135,"[8, 96]",37
